Containers,PalletSn,,Containers,PalletSn,NO,SN,VOC,ISC,PM,VM,IM,FF,Type
1047201-MS21-0057,5B210901033,14261,1047201-MS21-0057,5B210901033,17,432X5B210830110537911204,49.42,10.01,398.93,40.58,9.82,80.56%,390W
1047201-MS21-0049,5B210820023,43959,1047201-MS21-0049,5B210820023,35,432X5B210819110536301234,49.24,10.09,395.49,40.65,9.72,79.59%,395W
1047201-MS21-0019,5B210813117,2940,1047201-MS21-0019,5B210813117,1,432X5B210810110534972622,49.26,10.28,393.8,40.31,9.76,77.68%,390W
1047201-MS21-0019,5B210813013,2345,1047201-MS21-0019,5B210813013,1,432X5B210811110535161752,49.21,10.07,390.84,40.19,9.72,78.86%,390W
1047201-MS21-0059,5B210902026,15668,1047201-MS21-0059,5B210902026,24,432X5B210830110537913465,49.27,9.72,397.54,40.82,9.73,82.96%,390W
1047201-MS21-0060,5B210830039,16396,1047201-MS21-0060,5B210830039,17,432X5B210828110537852136,49.09,10.08,395.34,40.5,9.75,79.84%,390W
1047201-MS21-0046,5B210826025,10935,1047201-MS21-0046,5B210826025,16,432X5B210822110536962608,49.2,10.34,393.41,39.52,9.95,77.27%,390W
1047201-MS21-0025,5B210815095,33772,1047201-MS21-0025,5B210815095,33,432X5B210814110535851361,49.25,10.3,396.36,40.33,9.82,78.05%,395W
1047201-MS21-0063,5B210828033,18493,1047201-MS21-0063,5B210828033,14,432X5B210826110537570946,49.05,9.96,394.69,40.33,9.78,80.70%,390W
1047201-MS21-0035,5B210826031,7677,1047201-MS21-0035,5B210826031,13,432X5B210825110537261806,49.15,10.06,394.49,40.4,9.76,79.74%,390W
1047201-MS21-0059,5B210901078,15800,1047201-MS21-0059,5B210901078,16,432X5B210830110537912878,49.3,10.07,397.89,40.65,9.78,80.13%,390W
1047201-MS21-0019,5B210813013,2361,1047201-MS21-0019,5B210813013,17,432X5B210812110535440377,49.08,10.03,390.52,40.23,9.7,79.28%,390W
1047201-MS21-0031,5B210819033,38276,1047201-MS21-0031,5B210819033,22,432X5B210817110535981664,49.25,10.14,395.56,40.36,9.8,79.15%,395W
1047201-MS21-0060,5B210830004,16368,1047201-MS21-0060,5B210830004,24,432X5B210828110537852928,49.33,10.06,396.36,40.58,9.76,79.83%,390W
1047201-MS21-0035,5B210823059,7483,1047201-MS21-0035,5B210823059,29,432X5B210821110536780378,49.29,10.07,394.42,40.44,9.75,79.39%,390W
1047201-MS21-0046,5B210826025,10920,1047201-MS21-0046,5B210826025,1,432X5B210822110536962278,49.24,10.24,394.69,40.14,9.83,78.21%,390W
1047201-MS21-0031,5B210819033,38265,1047201-MS21-0031,5B210819033,11,432X5B210817110535981463,49.23,10.17,396.23,40.37,9.81,79.13%,395W
1047201-MS21-0057,5B210901008,14293,1047201-MS21-0057,5B210901008,14,432X5B210830110537910691,49.18,10.38,401.96,40.45,9.93,78.66%,390W
1047201-MS21-0025,5B210816023,34412,1047201-MS21-0025,5B210816023,8,432X5B210815110535881081,49.14,10.11,395.57,40.29,9.81,79.55%,395W
1047201-MS21-0049,5B210825013,44390,1047201-MS21-0049,5B210825013,11,432X5B210822110536961583,49.17,10.01,395.07,40.35,9.78,80.22%,395W
